iter	MultiClass
0	1.26313493
1	1.166269716
2	1.087571118
3	1.030590024
4	0.9802488251
5	0.9384376969
6	0.8930819233
7	0.8580755149
8	0.8309168817
9	0.8066455493
10	0.7808688539
11	0.7596072796
12	0.7457969884
13	0.7305469654
14	0.7103599091
15	0.6982471472
16	0.6865074685
17	0.6708152967
18	0.6628565152
19	0.6501537029
20	0.6353537127
21	0.6257126184
22	0.6182439884
23	0.6083424596
24	0.5961833305
25	0.5880436142
26	0.58183898
27	0.569583087
28	0.5645830962
29	0.5550655285
30	0.5470820046
31	0.5389262635
32	0.5338239267
33	0.5301643295
34	0.5202005149
35	0.5133473021
36	0.5077121818
37	0.5031330999
38	0.496853813
39	0.4943159717
40	0.4897497428
41	0.4858759202
42	0.4796336279
43	0.4771248434
44	0.4739776401
45	0.4694087344
46	0.4660078282
47	0.4608661634
48	0.4578783741
49	0.455789292
50	0.4534964287
51	0.4483785034
52	0.4441730982
53	0.441358169
54	0.4378706844
55	0.43372761
56	0.4314317215
57	0.428950286
58	0.4277675434
59	0.4244569691
60	0.4216439507
61	0.4205088284
62	0.4169656581
63	0.4128732307
64	0.4103759917
65	0.4078150787
66	0.4063273103
67	0.4041846783
68	0.4004684268
69	0.3960377887
70	0.3928143093
71	0.3893097018
72	0.38763617
73	0.3847496234
74	0.3832737381
75	0.3791288799
76	0.3783388139
77	0.3767279303
78	0.3742285448
79	0.3731486309
80	0.3717929251
81	0.3695259944
82	0.3680207339
83	0.3654638218
84	0.3619539464
85	0.3606732502
86	0.358696548
87	0.3568478784
88	0.3560660071
89	0.3548158022
90	0.3519978612
91	0.3506349845
92	0.3476907546
93	0.345711642
94	0.3436775086
95	0.3420233571
96	0.3403743862
97	0.3391048032
98	0.3356911571
99	0.3342661274
100	0.3335395545
101	0.3311599997
102	0.3292644994
103	0.3280010811
104	0.3265961264
105	0.3251991856
106	0.3235837839
107	0.3218578958
108	0.320928337
109	0.3198849104
110	0.3188179182
111	0.3172907288
112	0.3161445725
113	0.3157653783
114	0.3141773941
115	0.3126414216
116	0.3115484381
117	0.3098946592
118	0.3087278576
119	0.3076262078
120	0.3070544003
121	0.3063838499
122	0.3051496118
123	0.3043974686
124	0.3036908705
125	0.3020526013
126	0.3011309335
127	0.2996380822
128	0.2990042133
129	0.2973484782
130	0.2968043556
131	0.2961422107
132	0.2944462977
133	0.2934998664
134	0.292649933
135	0.2920217112
136	0.2908755754
137	0.2896638402
138	0.2886781358
139	0.2867424089
140	0.2862388841
141	0.2843310548
142	0.2820725488
143	0.2810606928
144	0.2803536201
145	0.2798233724
146	0.2790193948
147	0.2786363117
148	0.2774329637
149	0.2764067717
150	0.2760114165
151	0.2746841563
152	0.2740141148
153	0.2734188239
154	0.2723800465
155	0.2705874729
156	0.2699350846
157	0.2695124582
158	0.2690498254
159	0.268240607
160	0.2675014122
161	0.2666264904
162	0.2646055598
163	0.2636421145
164	0.2629375272
165	0.2626043463
166	0.2616629948
167	0.260705206
168	0.2602842651
169	0.2588309827
170	0.2581803884
171	0.2573650306
172	0.2557202426
173	0.2550979497
174	0.2544821591
175	0.2539326551
176	0.2534784527
177	0.2529034382
178	0.2521785338
179	0.2509804774
180	0.2499140003
181	0.2491690061
182	0.2484377533
183	0.2475328915
184	0.2469321505
185	0.2456085732
186	0.2451589533
187	0.2441328668
188	0.2433670981
189	0.2424282155
190	0.2412353389
191	0.2406872335
192	0.2401355805
193	0.2395027628
194	0.2386587772
195	0.2377968081
196	0.2372489609
197	0.2362040846
198	0.2355490826
199	0.2351106816
200	0.234583139
201	0.2339297238
202	0.2337279691
203	0.2331509792
204	0.2323154851
205	0.2316833472
206	0.2306638426
207	0.2300643714
208	0.2295163835
209	0.2286832743
210	0.2280252251
211	0.2271487475
212	0.2267909757
213	0.2264504363
214	0.2257811331
215	0.2251350016
216	0.2245714451
217	0.2235906715
218	0.2226589412
219	0.2217785338
220	0.2209534989
221	0.2205255404
222	0.2194678374
223	0.2191542217
224	0.2186296562
225	0.2177144541
226	0.2171278686
227	0.2165691052
228	0.216212912
229	0.215309805
230	0.2146039168
231	0.2135445613
232	0.2131917998
233	0.2125673648
234	0.2121032475
235	0.21149803
236	0.2110293263
237	0.2101890053
238	0.2097721176
239	0.2090460778
240	0.2081880263
241	0.2075735385
242	0.2070056251
243	0.205616695
244	0.2051839013
245	0.2049511297
246	0.2044327709
247	0.2034810609
248	0.2029743164
249	0.2021010734
250	0.2019146573
251	0.2013077846
252	0.2008551277
253	0.1999440507
254	0.1991271394
255	0.1988208585
256	0.1982025433
