t,signal
0,2.519365079
0.004167,3.07047619
0.008333,3.70031746
0.0125,3.07047619
0.016667,2.204444444
0.020833,1.417142857
0.025,0.787301587
0.029167,0.393650794
0.033333,0.078730159
0.0375,-0.157460317
0.041667,0.078730159
0.045833,0.157460317
0.05,0.314920635
0.054167,0.314920635
0.058333,0.393650794
0.0625,0.157460317
0.066667,0.157460317
0.070833,0.236190476
0.075,0.393650794
0.079167,0.393650794
0.083333,0.314920635
0.0875,0.236190476
0.091667,0.236190476
0.095833,0.314920635
0.1,0.314920635
0.104167,0.393650794
0.108333,0.393650794
0.1125,0.236190476
0.116667,0.236190476
0.120833,0.314920635
0.125,0.393650794
0.129167,0.393650794
0.133333,0.393650794
0.1375,0.314920635
0.141667,0.472380952
0.145833,0.472380952
0.15,0.551111111
0.154167,0.62984127
0.158333,0.62984127
0.1625,0.551111111
0.166667,0.62984127
0.170833,0.708571429
0.175,0.708571429
0.179167,0.787301587
0.183333,0.787301587
0.1875,0.787301587
0.191667,0.866031746
0.195833,0.944761905
0.2,0.944761905
0.204167,1.180952381
0.208333,1.338412698
0.2125,1.180952381
0.216667,1.25968254
0.220833,1.417142857
0.225,1.495873016
0.229167,1.495873016
0.233333,1.574603175
0.2375,1.574603175
0.241667,1.732063492
0.245833,1.732063492
0.25,1.653333333
0.254167,1.732063492
0.258333,1.732063492
0.2625,1.495873016
0.266667,1.495873016
0.270833,1.417142857
0.275,1.495873016
0.279167,1.338412698
0.283333,1.338412698
0.2875,1.180952381
0.291667,1.180952381
0.295833,1.102222222
0.3,0.944761905
0.304167,0.866031746
0.308333,0.866031746
0.3125,0.551111111
0.316667,0.393650794
0.320833,0.393650794
0.325,0.393650794
0.329167,0.393650794
0.333333,0.314920635
0.3375,0.236190476
0.341667,0.157460317
0.345833,0
0.35,-0.078730159
0.354167,0.157460317
0.358333,0.157460317
0.3625,-0.078730159
0.366667,-0.078730159
0.370833,0
0.375,0.078730159
0.379167,0.078730159
0.383333,0
0.3875,-0.157460317
0.391667,-0.078730159
0.395833,-0.078730159
0.4,-0.078730159
0.404167,0.078730159
0.408333,0.078730159
0.4125,-0.157460317
0.416667,-0.157460317
0.420833,-0.078730159
0.425,0
0.429167,0
0.433333,0
0.4375,-0.078730159
0.441667,0
0.445833,0
0.45,0
0.454167,0.078730159
0.458333,-0.078730159
0.4625,-0.314920635
0.466667,-0.236190476
0.470833,-0.078730159
0.475,-0.078730159
0.479167,-0.157460317
0.483333,-0.157460317
0.4875,-0.236190476
0.491667,-0.157460317
0.495833,-0.236190476
0.5,-0.236190476
0.504167,-0.157460317
0.508333,-0.157460317
0.5125,-0.393650794
0.516667,-0.393650794
0.520833,-0.236190476
0.525,-0.157460317
0.529167,-0.157460317
0.533333,-0.236190476
0.5375,-0.393650794
0.541667,-0.314920635
0.545833,-0.393650794
0.55,-0.314920635
0.554167,-0.236190476
0.558333,-0.157460317
0.5625,-0.393650794
0.566667,-0.393650794
0.570833,-0.393650794
0.575,-0.314920635
0.579167,-0.314920635
0.583333,-0.393650794
0.5875,-0.472380952
0.591667,-0.314920635
0.595833,-0.314920635
0.6,-0.393650794
0.604167,-0.314920635
0.608333,-0.236190476
0.6125,-0.393650794
0.616667,-0.472380952
0.620833,-0.314920635
0.625,-0.314920635
0.629167,-0.314920635
0.633333,-0.314920635
0.6375,-0.472380952
0.641667,-0.472380952
0.645833,-0.472380952
0.65,-0.472380952
0.654167,-0.314920635
0.658333,-0.236190476
0.6625,-0.393650794
0.666667,-0.551111111
0.670833,-0.551111111
0.675,-0.393650794
0.679167,-0.393650794
0.683333,-0.393650794
0.6875,-0.551111111
0.691667,-0.551111111
0.695833,-0.551111111
0.7,-0.472380952
0.704167,-0.393650794
0.708333,-0.314920635
0.7125,-0.472380952
0.716667,-0.551111111
0.720833,-0.472380952
0.725,-0.472380952
0.729167,-0.472380952
0.733333,-0.393650794
0.7375,-0.393650794
0.741667,-0.472380952
0.745833,-0.551111111
0.75,-0.551111111
0.754167,-0.472380952
0.758333,-0.314920635
0.7625,-0.472380952
0.766667,-0.62984127
0.770833,-0.551111111
0.775,-0.472380952
0.779167,-0.551111111
0.783333,-0.472380952
0.7875,-0.551111111
0.791667,-0.551111111
0.795833,-0.551111111
0.8,-0.551111111
0.804167,-0.472380952
0.808333,-0.393650794
0.8125,-0.551111111
0.816667,-0.62984127
0.820833,-0.551111111
0.825,-0.472380952
0.829167,-0.472380952
0.833333,-0.472380952
0.8375,-0.393650794
0.841667,-0.236190476
0.845833,-0.078730159
0.85,-0.157460317
0.854167,-0.078730159
0.858333,-0.078730159
0.8625,-0.157460317
0.866667,-0.236190476
0.870833,-0.078730159
0.875,0
0.879167,-0.078730159
0.883333,0.078730159
0.8875,0.078730159
0.891667,0.078730159
0.895833,0
0.9,-0.157460317
0.904167,-0.236190476
0.908333,-0.314920635
0.9125,-0.472380952
0.916667,-0.62984127
0.920833,-0.551111111
0.925,-0.62984127
0.929167,-0.708571429
0.933333,-0.708571429
0.9375,-0.787301587
0.941667,-0.944761905
0.945833,-0.944761905
0.95,-0.944761905
0.954167,-0.866031746
0.958333,-0.787301587
0.9625,-1.023492063
0.966667,-1.102222222
0.970833,-0.944761905
0.975,-0.944761905
0.979167,-0.944761905
0.983333,-0.944761905
0.9875,-0.866031746
0.991667,-0.866031746
0.995833,-0.944761905
1,-0.866031746
1.004167,-0.157460317
1.008333,0.787301587
1.0125,1.417142857
1.016667,1.88952381
1.020833,2.440634921
1.025,1.653333333
1.029167,0.866031746
1.033333,0.078730159
1.0375,-0.551111111
1.041667,-1.102222222
1.045833,-1.25968254
1.05,-1.417142857
1.054167,-1.180952381
1.058333,-0.944761905
1.0625,-0.944761905
1.066667,-1.102222222
1.070833,-0.944761905
1.075,-0.944761905
1.079167,-0.944761905
1.083333,-0.944761905
1.0875,-1.023492063
1.091667,-1.023492063
1.095833,-0.944761905
1.1,-0.944761905
1.104167,-0.866031746
1.108333,-0.787301587
1.1125,-0.944761905
1.116667,-0.944761905
1.120833,-0.866031746
1.125,-0.787301587
1.129167,-0.787301587
1.133333,-0.787301587
1.1375,-0.787301587
1.141667,-0.866031746
1.145833,-0.866031746
1.15,-0.866031746
1.154167,-0.708571429
1.158333,-0.551111111
1.1625,-0.62984127
1.166667,-0.708571429
1.170833,-0.62984127
1.175,-0.551111111
1.179167,-0.551111111
1.183333,-0.472380952
1.1875,-0.551111111
1.191667,-0.472380952
1.195833,-0.472380952
1.2,-0.393650794
1.204167,-0.236190476
1.208333,-0.078730159
1.2125,-0.157460317
1.216667,-0.157460317
1.220833,0.078730159
1.225,0.236190476
1.229167,0.236190476
1.233333,0.236190476
1.2375,0.314920635
1.241667,0.393650794
1.245833,0.472380952
1.25,0.472380952
1.254167,0.551111111
1.258333,0.551111111
1.2625,0.472380952
1.266667,0.393650794
1.270833,0.472380952
1.275,0.472380952
1.279167,0.472380952
1.283333,0.393650794
1.2875,0.314920635
1.291667,0.157460317
1.295833,0.157460317
1.3,0.078730159
1.304167,0.078730159
1.308333,0.078730159
1.3125,-0.236190476
1.316667,-0.393650794
1.320833,-0.314920635
1.325,-0.314920635
1.329167,-0.393650794
1.333333,-0.551111111
1.3375,-0.62984127
1.341667,-0.866031746
1.345833,-0.944761905
1.35,-0.944761905
1.354167,-0.866031746
1.358333,-0.787301587
1.3625,-0.944761905
1.366667,-1.102222222
1.370833,-0.944761905
1.375,-0.944761905
1.379167,-1.023492063
1.383333,-0.944761905
1.3875,-1.023492063
1.391667,-1.102222222
1.395833,-1.102222222
1.4,-1.102222222
1.404167,-1.023492063
1.408333,-0.944761905
1.4125,-1.023492063
1.416667,-1.102222222
1.420833,-1.023492063
1.425,-1.023492063
1.429167,-1.023492063
1.433333,-1.023492063
1.4375,-1.023492063
1.441667,-1.023492063
1.445833,-1.023492063
1.45,-1.180952381
1.454167,-1.023492063
1.458333,-0.866031746
1.4625,-1.023492063
1.466667,-1.180952381
1.470833,-1.102222222
1.475,-1.023492063
1.479167,-1.023492063
1.483333,-1.102222222
1.4875,-1.102222222
1.491667,-1.102222222
1.495833,-1.102222222
1.5,-1.102222222
1.504167,-1.102222222
1.508333,-1.102222222
1.5125,-1.180952381
1.516667,-1.25968254
1.520833,-1.180952381
1.525,-1.102222222
1.529167,-1.102222222
1.533333,-1.180952381
1.5375,-1.023492063
1.541667,-1.180952381
1.545833,-1.25968254
1.55,-1.25968254
1.554167,-1.180952381
1.558333,-1.023492063
1.5625,-1.102222222
1.566667,-1.417142857
1.570833,-1.338412698
1.575,-1.25968254
1.579167,-1.180952381
1.583333,-1.180952381
1.5875,-1.023492063
1.591667,-1.180952381
1.595833,-1.180952381
1.6,-1.25968254
1.604167,-1.180952381
1.608333,-1.102222222
1.6125,-1.102222222
1.616667,-1.338412698
1.620833,-1.338412698
1.625,-1.25968254
1.629167,-1.180952381
1.633333,-1.25968254
1.6375,-1.25968254
1.641667,-1.338412698
1.645833,-1.338412698
1.65,-1.338412698
1.654167,-1.180952381
1.658333,-1.180952381
1.6625,-1.102222222
1.666667,-1.338412698
1.670833,-1.25968254
1.675,-1.180952381
1.679167,-1.25968254
1.683333,-1.25968254
1.6875,-1.180952381
1.691667,-1.338412698
1.695833,-1.338412698
1.7,-1.338412698
1.704167,-1.25968254
1.708333,-1.180952381
1.7125,-1.180952381
1.716667,-1.417142857
1.720833,-1.338412698
1.725,-1.25968254
1.729167,-1.25968254
1.733333,-1.25968254
1.7375,-1.102222222
1.741667,-1.338412698
1.745833,-1.338412698
1.75,-1.338412698
1.754167,-1.25968254
1.758333,-1.180952381
1.7625,-1.180952381
1.766667,-1.417142857
1.770833,-1.338412698
1.775,-1.338412698
1.779167,-1.25968254
1.783333,-1.180952381
1.7875,-1.102222222
1.791667,-1.25968254
1.795833,-1.338412698
1.8,-1.25968254
1.804167,-1.102222222
1.808333,-0.944761905
1.8125,-0.944761905
1.816667,-1.25968254
1.820833,-1.25968254
1.825,-1.102222222
1.829167,-0.944761905
1.833333,-0.944761905
1.8375,-0.866031746
1.841667,-1.180952381
1.845833,-1.180952381
1.85,-1.180952381
1.854167,-1.102222222
1.858333,-1.023492063
1.8625,-1.102222222
1.866667,-1.338412698
1.870833,-1.338412698
1.875,-1.338412698
1.879167,-1.417142857
1.883333,-1.495873016
1.8875,-1.338412698
1.891667,-1.417142857
1.895833,-1.495873016
1.9,-1.495873016
1.904167,-1.417142857
1.908333,-1.338412698
1.9125,-1.417142857
1.916667,-1.574603175
1.920833,-1.495873016
1.925,-1.495873016
1.929167,-1.338412698
1.933333,-1.338412698
1.9375,-1.338412698
1.941667,-1.102222222
1.945833,-0.393650794
1.95,0.551111111
1.954167,1.25968254
1.958333,1.810793651
1.9625,1.338412698
