t,signal
0,102.431595
0.002,102.5241
0.004,102.74839
0.006,103.09503
0.008,102.85801
0.01,102.86145
0.012,102.87751
0.014,102.66472
0.016,103.06727
0.018,103.356834
0.02,103.57303
0.022,104.08544
0.024,104.09526
0.026,104.04717
0.028,104.185745
0.03,104.04543
0.032,104.194016
0.034,104.39376
0.036,104.34196
0.038,104.539986
0.04,104.462685
0.042,103.954544
0.044,103.72464
0.046,103.29844
0.048,102.81836
0.05,102.80029
0.052,102.59125
0.054,102.63962
0.056,102.911156
0.058,102.60934
0.06,102.49445
0.062,102.37889
0.064,102.03938
0.066,102.32507
0.068,102.49874
0.07,102.58972
0.072,102.94668
0.074,102.791046
0.076,102.56733
0.078,102.51869
0.08,102.184425
0.082,102.2494
0.084,102.51813
0.086,102.52487
0.088,102.779076
0.09,102.85244
0.092,102.536026
0.094,102.520676
0.096,102.31428
0.098,102.11801
0.1,102.44724
0.102,102.49035
0.104,102.64728
0.106,102.92591
0.108,102.61521
0.11,102.50246
0.112,102.41152
0.114,102.095375
0.116,102.38359
0.118,102.53944
0.12,102.60496
0.122,102.93259
0.124,102.75334
0.126,102.540245
0.128,102.517
0.13,102.19643
0.132,102.257675
0.134,102.530876
0.136,102.54829
0.138,102.82013
0.14,102.91228
0.142,102.59828
0.144,102.57446
0.146,102.37548
0.148,102.18343
0.15,102.53248
0.152,102.59282
0.154,102.762794
0.156,103.04198
0.158,102.72025
0.16,102.60961
0.162,102.51838
0.164,102.19692
0.166,102.502815
0.168,102.66174
0.17,102.71822
0.172,103.050514
0.174,102.891014
0.176,102.674904
0.178,102.63938
0.18,102.3169
0.182,102.37717
0.184,102.647675
0.186,102.6724
0.188,102.95615
0.19,103.04765
0.192,102.74617
0.194,102.72943
0.196,102.5295
0.198,102.34682
0.2,102.69088
0.202,102.75089
0.204,102.93548
0.206,103.220505
0.208,102.91911
0.21,102.83634
0.212,102.75266
0.214,102.42273
0.216,102.71
0.218,102.87885
0.22,102.94072
0.222,103.27775
0.224,103.11199
0.226,102.902695
0.228,102.8824
0.23,102.5633
0.232,102.62208
0.234,102.91683
0.236,102.96807
0.238,103.257904
0.24,103.344124
0.242,103.03275
0.244,103.000465
0.246,102.8007
0.248,102.625824
0.25,102.977554
0.252,103.04312
0.254,103.20407
0.256,103.49313
0.258,103.183334
0.26,103.077644
0.262,102.9974
0.264,102.674934
0.266,102.94856
0.268,103.08389
0.27,103.13684
0.272,103.48091
0.274,103.321594
0.276,103.09827
0.278,103.06949
0.28,102.751724
0.282,102.79096
0.284,103.0477
0.286,103.056564
0.288,103.32643
0.29,103.399574
0.292,103.0637
0.294,103.0245
0.296,102.81433
0.298,102.60075
0.3,102.91175
0.302,102.959076
0.304,103.10857
0.306,103.34868
0.308,102.99906
0.31,102.88452
0.312,102.780235
0.314,102.42681
0.316,102.666115
0.318,102.789635
0.32,102.82931
0.322,103.13992
0.324,102.95877
0.326,102.724686
0.328,102.68046
0.33,102.345085
0.332,102.376884
0.334,102.64508
0.336,102.66542
0.338,102.92529
0.34,102.99776
0.342,102.66077
0.344,102.60581
0.346,102.39259
0.348,102.184746
0.35,102.52201
0.352,102.57608
0.354,102.727425
0.356,103.008026
0.358,102.68473
0.36,102.56338
0.362,102.45954
0.364,102.11753
0.366,102.37913
0.368,102.519485
0.37,102.59615
0.372,102.95092
0.374,102.78202
0.376,102.558655
0.378,102.5357
0.38,102.22582
0.382,102.27777
0.384,102.547516
0.386,102.570885
0.388,102.8434
0.39,102.930046
0.392,102.60233
0.394,102.55546
0.396,102.350464
0.398,102.16183
0.4,102.50527
0.402,102.5526
0.404,102.72035
0.406,103.0163
0.408,102.70271
0.41,102.58514
0.412,102.49263
0.414,102.1801
0.416,102.44798
0.418,102.58142
0.42,102.63609
0.422,102.990906
0.424,102.83338
0.426,102.607956
0.428,102.58197
0.43,102.264946
0.432,102.309525
0.434,102.584
0.436,102.59973
0.438,102.86853
0.44,102.94668
0.442,102.6164
0.444,102.575516
0.446,102.37638
0.448,102.17373
0.45,102.518456
0.452,102.58333
0.454,102.750244
0.456,103.03578
0.458,102.716896
0.46,102.596016
0.462,102.50055
0.464,102.166336
0.466,102.42746
0.468,102.58388
0.47,102.645676
0.472,102.985954
0.474,102.828636
0.476,102.60074
0.478,102.56765
0.48,102.24485
0.482,102.29204
0.484,102.564186
0.486,102.58071
0.488,102.851074
0.49,102.93967
0.492,102.61499
0.494,102.56898
0.496,102.36944
0.498,102.17637
0.5,102.51455
0.502,102.56762
0.504,102.72345
0.506,103.01582
0.508,102.69381
0.51,102.57456
0.512,102.488495
0.514,102.156494
0.516,102.41596
0.518,102.57358
0.52,102.644455
0.522,102.99573
0.524,102.84016
0.526,102.60176
0.528,102.57119
0.53,102.257706
0.532,102.29725
0.534,102.568245
0.536,102.5816
0.538,102.840294
0.54,102.92341
0.542,102.60913
0.544,102.57196
0.546,102.3817
0.548,102.18025
0.55,102.51922
0.552,102.57308
0.554,102.70921
0.556,102.997826
0.558,102.68519
0.56,102.5691
0.562,102.48453
0.564,102.15185
0.566,102.42025
0.568,102.57984
0.57,102.62534
0.572,102.953285
0.574,102.79674
0.576,102.565094
0.578,102.529686
0.58,102.21407
0.582,102.254486
0.584,102.52558
0.586,102.54056
0.588,102.81
0.59,102.909744
0.592,102.59258
0.594,102.54995
0.596,102.34131
0.598,102.12378
0.6,102.45869
0.602,102.51922
0.604,102.67478
0.606,102.9695
0.608,102.66143
0.61,102.53987
0.612,102.44905
0.614,102.11847
0.616,102.38377
0.618,102.52954
0.62,102.58779
0.622,102.92654
0.624,102.771225
0.626,102.54392
0.628,102.53379
0.63,102.227684
0.632,102.25353
0.634,102.52199
0.636,102.530235
0.638,102.798454
0.64,102.89144
0.642,102.560326
0.644,102.52453
0.646,102.32983
0.648,102.13587
0.65,102.47497
0.652,102.53321
0.654,102.69926
0.656,102.99682
0.658,102.68697
0.66,102.57889
0.662,102.50203
0.664,102.169556
0.666,102.42862
0.668,102.58151
0.67,102.63972
0.672,102.989716
0.674,102.85828
0.676,102.624695
0.678,102.58986
0.68,102.274155
0.682,102.3091
0.684,102.59184
0.686,102.63006
0.688,102.910416
0.69,103.02628
0.692,102.70697
0.694,102.66016
0.696,102.459496
0.698,102.25884
0.7,102.596565
0.702,102.6508
0.704,102.79295
0.706,103.07161
0.708,102.750725
0.71,102.627846
0.712,102.5419
0.714,102.198235
0.716,102.4476
0.718,102.59384
0.72,102.63199
0.722,102.95772
0.724,102.80697
0.726,102.55028
0.728,102.49934
0.73,102.18107
0.732,102.20813
0.734,102.48186
0.736,102.49607
0.738,102.75814
0.74,102.8388
0.742,102.505745
0.744,102.47085
0.746,102.27458
0.748,102.06548
0.75,102.407616
0.752,102.466644
0.754,102.60508
0.756,102.89726
0.758,102.5865
0.76,102.46644
0.762,102.388306
0.764,102.050125
0.766,102.298065
0.768,102.449646
0.77,102.50198
0.772,102.83849
0.774,102.70292
0.776,102.461586
0.778,102.42245
0.78,102.113495
0.782,102.14256
0.784,102.42223
0.786,102.44502
0.788,102.72466
0.79,102.804054
0.792,102.46388
0.794,102.41317
0.796,102.22289
0.798,102.03013
0.8,102.39571
0.802,102.4841
0.804,102.68866
0.806,103.06332
0.808,102.83219
0.81,102.80321
0.812,102.838135
0.814,102.63352
0.816,103.00908
0.818,103.29985
0.82,103.50076
0.822,104.00199
0.824,104.00085
0.826,103.92999
0.828,104.08113
0.83,103.95853
0.832,104.153076
0.834,104.44169
0.836,104.36035
0.838,104.55338
0.84,104.553215
0.842,104.08186
0.844,103.86621
0.846,103.465096
0.848,103.00595
0.85,103.01588
0.852,102.7513
0.854,102.71499
0.856,102.93676
0.858,102.629654
0.86,102.51646
0.862,102.420135
0.864,102.04594
0.866,102.26001
0.868,102.4199
0.87,102.502716
0.872,102.85794
0.874,102.72703
0.876,102.50995
0.878,102.48305
0.88,102.16949
0.882,102.197334
0.884,102.47554
0.886,102.48769
0.888,102.7491
